lot_id,product_family,customer_tier,current_process_id,current_process_name,next_process_id,assigned_tool_id,wafer_quantity,lot_value_usd,priority,status,entry_time,due_date,steps_completed,total_steps
LOT-0040,NEX-AI-ACCEL,Tier-1 Hyperscale AI,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-03,100,120000,MEDIUM,PROCESSING,2026-09-13 04:00:00,2026-09-21 13:00:00,5,10
LOT-0041,NEX-MCU-AUTO,Industrial IoT,PRC-08,Chemical Mechanical Polishing (CMP),PRC-09,CMP-02,50,32500,HIGH,PROCESSING,2026-09-14 00:00:00,2026-09-22 17:00:00,7,10
LOT-0042,NEX-PMIC-CORE,Tier-1 Automotive,PRC-01,Wafer Prep & Clean,PRC-02,CLN-01,100,95000,HIGH,IN_QUEUE,2026-09-13 01:00:00,2026-09-29 16:00:00,0,10
LOT-0043,NEX-RF-TRANS,Mobile Flagship,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-03,25,16250,CRITICAL,EXPEDITED,2026-09-15 00:00:00,2026-09-18 02:00:00,5,10
LOT-0044,NEX-AI-ACCEL,Mobile Flagship,PRC-02,Oxidation & Thermal,PRC-03,THM-02,75,48750,MEDIUM,EXPEDITED,2026-09-13 03:00:00,2026-09-24 03:00:00,1,10
LOT-0045,NEX-PMIC-CORE,Industrial IoT,PRC-08,Chemical Mechanical Polishing (CMP),PRC-09,CMP-01,75,48750,CRITICAL,HOLD_METROLOGY,2026-09-11 13:00:00,2026-09-17 00:00:00,7,10
LOT-0046,NEX-AI-ACCEL,Mobile Flagship,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-02,75,48750,HIGH,PROCESSING,2026-09-11 08:00:00,2026-09-26 18:00:00,5,10
LOT-0047,NEX-MCU-AUTO,Mobile Flagship,PRC-09,In-line Metrology & Defect Scan,PRC-10,MET-03,75,48750,MEDIUM,IN_QUEUE,2026-09-14 04:00:00,2026-09-24 06:00:00,8,10
LOT-0048,NEX-PMIC-CORE,Tier-1 Hyperscale AI,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-04,150,180000,MEDIUM,IN_QUEUE,2026-09-15 04:00:00,2026-09-27 02:00:00,3,10
LOT-0049,NEX-MEM-HBM,Aerospace Defense,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-01,100,65000,MEDIUM,IN_QUEUE,2026-09-11 14:00:00,2026-09-27 18:00:00,2,10
LOT-0050,NEX-PMIC-CORE,Tier-1 Automotive,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-02,150,142500,HIGH,PROCESSING,2026-09-13 10:00:00,2026-09-22 00:00:00,2,10
LOT-0051,NEX-MEM-HBM,Tier-1 Hyperscale AI,PRC-02,Oxidation & Thermal,PRC-03,THM-01,150,180000,HIGH,IN_QUEUE,2026-09-11 22:00:00,2026-09-19 08:00:00,1,10
LOT-0052,NEX-MEM-HBM,Aerospace Defense,PRC-08,Chemical Mechanical Polishing (CMP),PRC-09,CMP-01,100,65000,HIGH,PROCESSING,2026-09-13 01:00:00,2026-09-21 06:00:00,7,10
LOT-0053,NEX-PMIC-CORE,Tier-1 Automotive,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-03,150,142500,CRITICAL,IN_QUEUE,2026-09-12 17:00:00,2026-09-19 15:00:00,2,10
LOT-0054,NEX-PMIC-CORE,Industrial IoT,PRC-01,Wafer Prep & Clean,PRC-02,CLN-01,25,16250,HIGH,EXPEDITED,2026-09-13 12:00:00,2026-09-28 00:00:00,0,10
LOT-0055,NEX-MCU-AUTO,Aerospace Defense,PRC-10,Wafer Test & Final Packaging,COMPLETED,PKG-04,125,81250,MEDIUM,IN_QUEUE,2026-09-12 16:00:00,2026-09-24 01:00:00,9,10
LOT-0056,NEX-MEM-HBM,Aerospace Defense,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-02,150,97500,HIGH,IN_QUEUE,2026-09-14 19:00:00,2026-09-25 04:00:00,3,10
LOT-0057,NEX-MEM-HBM,Aerospace Defense,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-02,75,48750,HIGH,IN_QUEUE,2026-09-11 12:00:00,2026-09-18 12:00:00,5,10
LOT-0058,NEX-MCU-AUTO,Mobile Flagship,PRC-02,Oxidation & Thermal,PRC-03,THM-01,25,16250,HIGH,IN_QUEUE,2026-09-12 23:00:00,2026-09-25 22:00:00,1,10
LOT-0059,NEX-MEM-HBM,Tier-1 Automotive,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-01,125,118750,HIGH,PROCESSING,2026-09-12 08:00:00,2026-09-22 17:00:00,3,10
LOT-0060,NEX-MEM-HBM,Industrial IoT,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-02,100,65000,HIGH,IN_QUEUE,2026-09-11 08:00:00,2026-09-24 08:00:00,5,10
LOT-0061,NEX-AI-ACCEL,Aerospace Defense,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-02,50,32500,LOW,PROCESSING,2026-09-14 18:00:00,2026-09-17 20:00:00,2,10
LOT-0062,NEX-RF-TRANS,Mobile Flagship,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-02,100,65000,HIGH,IN_QUEUE,2026-09-13 09:00:00,2026-09-23 18:00:00,5,10
LOT-0063,NEX-PMIC-CORE,Industrial IoT,PRC-07,Physical Vapor Deposition (PVD),PRC-08,PVD-02,75,48750,MEDIUM,IN_QUEUE,2026-09-14 22:00:00,2026-09-21 10:00:00,6,10
LOT-0064,NEX-MCU-AUTO,Tier-1 Automotive,PRC-10,Wafer Test & Final Packaging,COMPLETED,PKG-03,50,47500,MEDIUM,HOLD_METROLOGY,2026-09-15 02:00:00,2026-09-29 08:00:00,9,10
LOT-0065,NEX-RF-TRANS,Tier-1 Automotive,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-02,50,47500,HIGH,IN_QUEUE,2026-09-13 05:00:00,2026-09-26 14:00:00,5,10
LOT-0066,NEX-RF-TRANS,Tier-1 Hyperscale AI,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-03,150,180000,MEDIUM,PROCESSING,2026-09-12 03:00:00,2026-09-21 11:00:00,2,10
LOT-0067,NEX-MCU-AUTO,Tier-1 Hyperscale AI,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-04,100,120000,LOW,PROCESSING,2026-09-14 15:00:00,2026-09-19 02:00:00,5,10
LOT-0068,NEX-RF-TRANS,Tier-1 Automotive,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-03,150,142500,MEDIUM,PROCESSING,2026-09-12 08:00:00,2026-09-30 02:00:00,5,10
LOT-0069,NEX-AI-ACCEL,Mobile Flagship,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-03,25,16250,MEDIUM,PROCESSING,2026-09-12 21:00:00,2026-09-17 21:00:00,3,10
LOT-0070,NEX-RF-TRANS,Tier-1 Hyperscale AI,PRC-10,Wafer Test & Final Packaging,COMPLETED,PKG-04,150,180000,HIGH,EXPEDITED,2026-09-11 22:00:00,2026-09-29 00:00:00,9,10
LOT-0071,NEX-AI-ACCEL,Aerospace Defense,PRC-07,Physical Vapor Deposition (PVD),PRC-08,PVD-02,100,65000,HIGH,PROCESSING,2026-09-13 17:00:00,2026-09-21 18:00:00,6,10
LOT-0072,NEX-RF-TRANS,Industrial IoT,PRC-08,Chemical Mechanical Polishing (CMP),PRC-09,CMP-01,100,65000,MEDIUM,IN_QUEUE,2026-09-14 05:00:00,2026-09-22 08:00:00,7,10
LOT-0073,NEX-PMIC-CORE,Aerospace Defense,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-03,75,48750,HIGH,PROCESSING,2026-09-14 04:00:00,2026-09-28 16:00:00,3,10
LOT-0074,NEX-MEM-HBM,Tier-1 Hyperscale AI,PRC-02,Oxidation & Thermal,PRC-03,THM-02,100,120000,MEDIUM,PROCESSING,2026-09-12 19:00:00,2026-09-28 23:00:00,1,10
LOT-0075,NEX-MEM-HBM,Tier-1 Hyperscale AI,PRC-07,Physical Vapor Deposition (PVD),PRC-08,PVD-01,75,90000,HIGH,PROCESSING,2026-09-12 06:00:00,2026-09-22 05:00:00,6,10
LOT-0076,NEX-RF-TRANS,Mobile Flagship,PRC-05,Ion Implantation,PRC-06,IMP-02,150,97500,MEDIUM,IN_QUEUE,2026-09-13 23:00:00,2026-09-28 22:00:00,4,10
LOT-0077,NEX-PMIC-CORE,Aerospace Defense,PRC-02,Oxidation & Thermal,PRC-03,THM-01,75,48750,CRITICAL,IN_QUEUE,2026-09-12 09:00:00,2026-09-17 14:00:00,1,10
LOT-0078,NEX-PMIC-CORE,Mobile Flagship,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-01,50,32500,HIGH,IN_QUEUE,2026-09-14 12:00:00,2026-09-19 17:00:00,5,10
LOT-0079,NEX-AI-ACCEL,Tier-1 Hyperscale AI,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-01,125,150000,HIGH,IN_QUEUE,2026-09-12 03:00:00,2026-09-27 23:00:00,2,10
LOT-0080,NEX-AI-ACCEL,Tier-1 Automotive,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-02,100,95000,HIGH,IN_QUEUE,2026-09-13 01:00:00,2026-09-21 23:00:00,2,10
LOT-0081,NEX-AI-ACCEL,Aerospace Defense,PRC-05,Ion Implantation,PRC-06,IMP-01,50,32500,CRITICAL,EXPEDITED,2026-09-12 05:00:00,2026-09-18 10:00:00,4,10
LOT-0082,NEX-RF-TRANS,Industrial IoT,PRC-07,Physical Vapor Deposition (PVD),PRC-08,PVD-01,125,81250,HIGH,EXPEDITED,2026-09-12 04:00:00,2026-09-22 02:00:00,6,10
LOT-0083,NEX-MCU-AUTO,Mobile Flagship,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-01,50,32500,MEDIUM,IN_QUEUE,2026-09-12 06:00:00,2026-09-27 10:00:00,5,10
LOT-0084,NEX-RF-TRANS,Aerospace Defense,PRC-01,Wafer Prep & Clean,PRC-02,CLN-01,100,65000,HIGH,IN_QUEUE,2026-09-11 10:00:00,2026-09-24 17:00:00,0,10
LOT-0085,NEX-MCU-AUTO,Mobile Flagship,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-02,25,16250,MEDIUM,PROCESSING,2026-09-12 22:00:00,2026-09-30 04:00:00,2,10
LOT-0086,NEX-PMIC-CORE,Mobile Flagship,PRC-02,Oxidation & Thermal,PRC-03,THM-01,150,97500,CRITICAL,IN_QUEUE,2026-09-12 04:00:00,2026-09-17 10:00:00,1,10
LOT-0087,NEX-PMIC-CORE,Mobile Flagship,PRC-09,In-line Metrology & Defect Scan,PRC-10,MET-02,25,16250,HIGH,HOLD_METROLOGY,2026-09-12 07:00:00,2026-09-28 20:00:00,8,10
LOT-0088,NEX-PMIC-CORE,Industrial IoT,PRC-05,Ion Implantation,PRC-06,IMP-01,125,81250,CRITICAL,EXPEDITED,2026-09-12 01:00:00,2026-09-19 03:00:00,4,10
LOT-0089,NEX-RF-TRANS,Tier-1 Hyperscale AI,PRC-10,Wafer Test & Final Packaging,COMPLETED,PKG-03,125,150000,CRITICAL,PROCESSING,2026-09-14 05:00:00,2026-09-20 00:00:00,9,10
LOT-0090,NEX-RF-TRANS,Tier-1 Automotive,PRC-10,Wafer Test & Final Packaging,COMPLETED,PKG-04,150,142500,MEDIUM,IN_QUEUE,2026-09-11 15:00:00,2026-09-24 19:00:00,9,10
LOT-0091,NEX-PMIC-CORE,Industrial IoT,PRC-02,Oxidation & Thermal,PRC-03,THM-01,75,48750,HIGH,HOLD_METROLOGY,2026-09-15 00:00:00,2026-09-22 05:00:00,1,10
LOT-0092,NEX-PMIC-CORE,Industrial IoT,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-03,75,48750,HIGH,PROCESSING,2026-09-12 17:00:00,2026-09-25 08:00:00,3,10
LOT-0093,NEX-MCU-AUTO,Industrial IoT,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-02,125,81250,HIGH,PROCESSING,2026-09-13 18:00:00,2026-09-27 22:00:00,3,10
LOT-0094,NEX-PMIC-CORE,Industrial IoT,PRC-05,Ion Implantation,PRC-06,IMP-02,100,65000,LOW,EXPEDITED,2026-09-13 22:00:00,2026-09-18 08:00:00,4,10
LOT-0095,NEX-AI-ACCEL,Industrial IoT,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-03,125,81250,CRITICAL,EXPEDITED,2026-09-12 17:00:00,2026-09-16 15:00:00,5,10
LOT-0096,NEX-MEM-HBM,Mobile Flagship,PRC-09,In-line Metrology & Defect Scan,PRC-10,MET-03,50,32500,HIGH,IN_QUEUE,2026-09-12 16:00:00,2026-09-26 06:00:00,8,10
LOT-0097,NEX-AI-ACCEL,Aerospace Defense,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-03,50,32500,HIGH,PROCESSING,2026-09-13 17:00:00,2026-09-26 07:00:00,2,10
LOT-0098,NEX-RF-TRANS,Aerospace Defense,PRC-07,Physical Vapor Deposition (PVD),PRC-08,PVD-02,75,48750,LOW,IN_QUEUE,2026-09-12 01:00:00,2026-09-21 08:00:00,6,10
LOT-0099,NEX-PMIC-CORE,Industrial IoT,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-04,50,32500,HIGH,PROCESSING,2026-09-13 04:00:00,2026-09-22 18:00:00,5,10
LOT-0100,NEX-MEM-HBM,Tier-1 Hyperscale AI,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-03,50,60000,LOW,IN_QUEUE,2026-09-14 23:00:00,2026-09-26 20:00:00,3,10
LOT-0101,NEX-MCU-AUTO,Industrial IoT,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-02,150,97500,LOW,PROCESSING,2026-09-12 13:00:00,2026-09-24 05:00:00,2,10
LOT-0102,NEX-MEM-HBM,Mobile Flagship,PRC-10,Wafer Test & Final Packaging,COMPLETED,PKG-02,125,81250,LOW,IN_QUEUE,2026-09-15 03:00:00,2026-09-18 22:00:00,9,10
LOT-0103,NEX-MEM-HBM,Tier-1 Automotive,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-04,150,142500,LOW,IN_QUEUE,2026-09-11 17:00:00,2026-09-24 16:00:00,5,10
LOT-0104,NEX-MEM-HBM,Industrial IoT,PRC-02,Oxidation & Thermal,PRC-03,THM-02,150,97500,LOW,PROCESSING,2026-09-12 07:00:00,2026-09-23 04:00:00,1,10
LOT-0105,NEX-AI-ACCEL,Mobile Flagship,PRC-01,Wafer Prep & Clean,PRC-02,CLN-01,50,32500,MEDIUM,IN_QUEUE,2026-09-11 19:00:00,2026-09-21 07:00:00,0,10
LOT-0106,NEX-AI-ACCEL,Mobile Flagship,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-01,100,65000,HIGH,IN_QUEUE,2026-09-13 15:00:00,2026-09-17 09:00:00,5,10
LOT-0107,NEX-MCU-AUTO,Industrial IoT,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-04,50,32500,HIGH,PROCESSING,2026-09-14 06:00:00,2026-09-27 05:00:00,3,10
LOT-0108,NEX-RF-TRANS,Industrial IoT,PRC-01,Wafer Prep & Clean,PRC-02,CLN-02,125,81250,MEDIUM,IN_QUEUE,2026-09-12 18:00:00,2026-09-26 12:00:00,0,10
LOT-0109,NEX-RF-TRANS,Aerospace Defense,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-01,100,65000,LOW,IN_QUEUE,2026-09-12 01:00:00,2026-09-19 10:00:00,2,10
LOT-0110,NEX-AI-ACCEL,Mobile Flagship,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-02,150,97500,HIGH,PROCESSING,2026-09-13 22:00:00,2026-09-20 20:00:00,2,10
LOT-0111,NEX-AI-ACCEL,Mobile Flagship,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-03,125,81250,HIGH,IN_QUEUE,2026-09-12 04:00:00,2026-09-18 05:00:00,3,10
LOT-0112,NEX-RF-TRANS,Mobile Flagship,PRC-08,Chemical Mechanical Polishing (CMP),PRC-09,CMP-01,125,81250,MEDIUM,PROCESSING,2026-09-14 00:00:00,2026-09-29 15:00:00,7,10
LOT-0113,NEX-AI-ACCEL,Tier-1 Hyperscale AI,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-03,150,180000,MEDIUM,HOLD_METROLOGY,2026-09-13 13:00:00,2026-09-27 11:00:00,5,10
LOT-0114,NEX-MEM-HBM,Tier-1 Hyperscale AI,PRC-07,Physical Vapor Deposition (PVD),PRC-08,PVD-01,125,150000,HIGH,IN_QUEUE,2026-09-14 06:00:00,2026-09-18 17:00:00,6,10
LOT-0115,NEX-MEM-HBM,Mobile Flagship,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-03,75,48750,MEDIUM,HOLD_METROLOGY,2026-09-13 15:00:00,2026-09-19 16:00:00,2,10
LOT-0116,NEX-MEM-HBM,Tier-1 Automotive,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-03,25,23750,HIGH,PROCESSING,2026-09-12 05:00:00,2026-09-19 15:00:00,5,10
LOT-0117,NEX-RF-TRANS,Tier-1 Automotive,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-04,25,23750,HIGH,PROCESSING,2026-09-12 02:00:00,2026-09-24 19:00:00,3,10
LOT-0118,NEX-PMIC-CORE,Industrial IoT,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-03,25,16250,MEDIUM,PROCESSING,2026-09-13 11:00:00,2026-09-18 03:00:00,3,10
LOT-0119,NEX-AI-ACCEL,Industrial IoT,PRC-09,In-line Metrology & Defect Scan,PRC-10,MET-01,150,97500,CRITICAL,EXPEDITED,2026-09-13 14:00:00,2026-09-19 04:00:00,8,10
LOT-0120,NEX-PMIC-CORE,Aerospace Defense,PRC-10,Wafer Test & Final Packaging,COMPLETED,PKG-01,25,16250,HIGH,IN_QUEUE,2026-09-12 23:00:00,2026-09-19 20:00:00,9,10
LOT-0121,NEX-RF-TRANS,Industrial IoT,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-02,100,65000,MEDIUM,HOLD_METROLOGY,2026-09-15 00:00:00,2026-09-26 21:00:00,5,10
LOT-0122,NEX-RF-TRANS,Tier-1 Hyperscale AI,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-02,100,120000,HIGH,EXPEDITED,2026-09-12 07:00:00,2026-09-22 11:00:00,5,10
LOT-0123,NEX-MEM-HBM,Mobile Flagship,PRC-09,In-line Metrology & Defect Scan,PRC-10,MET-03,75,48750,CRITICAL,HOLD_METROLOGY,2026-09-14 17:00:00,2026-09-17 11:00:00,8,10
