record_id,timestamp,process_id,tool_nominal_capacity,wip_queue_size,tool_utilization_pct,downstream_queue_size,wafer_quantity,lot_priority_num,remaining_stages,nominal_cycle_time_hr,chamber_health,has_active_disruption,actual_delay_hours
HIST-00020,2026-05-20 16:00:00,PRC-05,30,14,46.2,87,125,1,6,4.5,86,0,11.64
HIST-00021,2026-01-04 23:00:00,PRC-08,35,54,155.6,74,75,2,3,4.0,72,0,47.99
HIST-00022,2026-01-23 12:00:00,PRC-06,70,58,83.4,39,50,3,5,7.0,90,0,14.22
HIST-00023,2026-03-19 18:00:00,PRC-02,35,60,172.6,76,75,4,9,6.0,65,0,56.92
HIST-00024,2026-06-25 16:00:00,PRC-10,30,24,79.0,61,150,2,1,6.5,72,0,11.92
HIST-00025,2026-04-06 13:00:00,PRC-05,60,36,60.3,52,75,3,6,4.5,79,0,8.84
HIST-00026,2026-04-03 02:00:00,PRC-09,45,65,143.5,42,50,3,2,3.0,70,0,43.87
HIST-00027,2026-02-22 22:00:00,PRC-10,30,16,53.0,85,125,2,1,6.5,99,0,11.59
HIST-00028,2026-05-25 01:00:00,PRC-10,45,26,56.8,80,100,3,1,6.5,94,0,12.37
HIST-00029,2026-03-30 22:00:00,PRC-09,45,60,132.5,54,150,1,2,3.0,81,0,37.85
HIST-00030,2026-06-14 23:00:00,PRC-02,50,87,174.2,23,100,1,9,6.0,91,0,58.03
HIST-00031,2026-06-17 11:00:00,PRC-07,40,70,174.1,63,100,4,4,5.0,89,0,50.5
HIST-00032,2026-09-08 09:00:00,PRC-02,35,61,174.1,65,125,1,9,6.0,79,0,56.2
HIST-00033,2026-07-05 03:00:00,PRC-08,60,83,138.5,69,125,2,3,4.0,79,0,46.91
HIST-00034,2026-06-03 21:00:00,PRC-01,70,92,130.8,93,25,2,10,3.5,69,1,65.91
HIST-00035,2026-03-01 23:00:00,PRC-01,35,49,141.3,66,100,2,10,3.5,78,0,42.87
HIST-00036,2026-04-16 09:00:00,PRC-10,40,48,120.1,56,50,2,1,6.5,74,0,34.66
HIST-00037,2026-04-08 16:00:00,PRC-05,30,35,117.4,90,150,4,6,4.5,92,0,19.86
HIST-00038,2026-03-18 22:00:00,PRC-06,60,59,99.1,34,75,2,5,7.0,99,0,20.54
HIST-00039,2026-06-15 02:00:00,PRC-03,70,74,105.2,22,125,2,8,8.0,91,0,23.4
HIST-00040,2026-06-04 01:00:00,PRC-08,70,65,93.2,83,150,3,3,4.0,68,0,30.92
HIST-00041,2026-01-04 06:00:00,PRC-02,35,52,149.6,90,150,3,9,6.0,78,0,41.99
HIST-00042,2026-03-24 09:00:00,PRC-04,60,36,60.3,76,50,3,7,5.5,78,0,21.17
HIST-00043,2026-07-14 10:00:00,PRC-07,45,51,114.4,60,75,2,4,5.0,97,0,26.27
HIST-00044,2026-05-30 18:00:00,PRC-04,40,34,85.7,20,125,4,7,5.5,74,1,22.19
HIST-00045,2026-07-30 15:00:00,PRC-07,40,26,64.8,57,50,2,4,5.0,80,0,13.12
HIST-00046,2026-05-19 20:00:00,PRC-08,45,30,66.9,60,50,1,3,4.0,99,0,14.33
HIST-00047,2026-01-03 06:00:00,PRC-01,50,25,49.4,24,150,1,10,3.5,65,0,17.21
HIST-00048,2026-05-17 17:00:00,PRC-09,45,42,93.5,94,150,3,2,3.0,95,0,21.44
HIST-00049,2026-02-15 03:00:00,PRC-07,30,14,47.2,50,125,4,4,5.0,66,0,6.1
HIST-00050,2026-04-06 12:00:00,PRC-02,50,32,64.4,39,125,3,9,6.0,87,0,11.04
HIST-00051,2026-04-08 12:00:00,PRC-08,50,38,76.6,43,75,3,3,4.0,70,0,16.7
HIST-00052,2026-03-26 18:00:00,PRC-09,45,24,52.3,16,150,2,2,3.0,96,0,5.64
HIST-00053,2026-05-20 18:00:00,PRC-02,50,82,164.5,44,50,4,9,6.0,95,0,48.15
HIST-00054,2026-04-12 02:00:00,PRC-01,35,58,165.7,55,25,4,10,3.5,74,0,46.35
HIST-00055,2026-07-05 02:00:00,PRC-05,35,41,118.3,87,100,3,6,4.5,99,0,28.64
HIST-00056,2026-09-02 19:00:00,PRC-09,60,103,171.7,21,25,2,2,3.0,69,0,69.02
HIST-00057,2026-04-08 02:00:00,PRC-07,70,61,87.4,49,100,2,4,5.0,87,0,21.7
HIST-00058,2026-07-09 12:00:00,PRC-10,40,59,148.7,24,25,2,1,6.5,89,0,39.85
HIST-00059,2026-05-12 13:00:00,PRC-06,40,24,58.9,15,75,2,5,7.0,82,1,14.51
HIST-00060,2026-04-16 12:00:00,PRC-02,30,17,56.7,85,25,3,9,6.0,85,0,11.53
HIST-00061,2026-02-12 13:00:00,PRC-02,60,97,162.1,46,125,3,9,6.0,89,0,54.25
HIST-00062,2026-06-07 06:00:00,PRC-05,45,38,84.0,24,75,2,6,4.5,80,0,14.07
HIST-00063,2026-08-09 20:00:00,PRC-08,30,19,62.6,15,100,2,3,4.0,89,0,3.24
HIST-00064,2026-03-23 09:00:00,PRC-10,35,29,84.1,92,150,2,1,6.5,85,0,19.81
HIST-00065,2026-02-16 21:00:00,PRC-08,50,73,146.7,56,100,2,3,4.0,90,0,46.49
HIST-00066,2026-08-06 13:00:00,PRC-09,30,51,168.9,74,150,2,2,3.0,83,0,56.48
HIST-00067,2026-04-13 17:00:00,PRC-08,35,45,127.3,45,75,3,3,4.0,92,0,27.12
HIST-00068,2026-06-02 20:00:00,PRC-09,70,94,134.9,84,25,3,2,3.0,88,0,46.54
HIST-00069,2026-03-26 13:00:00,PRC-02,30,44,145.0,60,50,3,9,6.0,67,0,37.48
HIST-00070,2026-07-17 21:00:00,PRC-02,30,17,57.8,43,125,3,9,6.0,79,0,3.88
HIST-00071,2026-02-06 11:00:00,PRC-10,60,66,110.1,59,25,2,1,6.5,83,0,31.49
HIST-00072,2026-04-26 10:00:00,PRC-05,40,42,104.2,41,125,2,6,4.5,95,1,37.2
HIST-00073,2026-02-14 17:00:00,PRC-02,40,20,50.8,29,25,3,9,6.0,71,0,10.92
HIST-00074,2026-04-12 00:00:00,PRC-03,40,47,117.8,74,50,3,8,8.0,76,0,28.13
HIST-00075,2026-01-27 17:00:00,PRC-10,35,36,103.4,69,100,1,1,6.5,78,0,22.47
HIST-00076,2026-06-02 12:00:00,PRC-03,40,35,87.4,73,25,2,8,8.0,96,0,15.76
HIST-00077,2026-01-22 21:00:00,PRC-10,45,55,121.3,59,75,3,1,6.5,76,0,29.45
HIST-00078,2026-02-05 18:00:00,PRC-03,40,24,60.3,54,25,2,8,8.0,74,0,17.23
HIST-00079,2026-04-26 19:00:00,PRC-07,45,31,69.1,83,150,4,4,5.0,76,0,16.18
HIST-00080,2026-05-07 13:00:00,PRC-01,70,64,91.7,16,100,1,10,3.5,89,0,21.05
HIST-00081,2026-03-15 05:00:00,PRC-08,45,62,137.3,71,100,2,3,4.0,66,0,47.25
HIST-00082,2026-04-04 17:00:00,PRC-08,50,71,141.5,78,125,3,3,4.0,72,0,47.08
HIST-00083,2026-01-09 14:00:00,PRC-01,70,97,138.5,84,50,4,10,3.5,71,0,51.77
HIST-00084,2026-07-27 23:00:00,PRC-05,40,63,157.1,26,100,4,6,4.5,72,0,46.36
HIST-00085,2026-05-17 08:00:00,PRC-10,60,54,90.6,93,150,2,1,6.5,73,0,29.08
HIST-00086,2026-01-25 04:00:00,PRC-10,50,33,66.9,52,75,3,1,6.5,97,0,8.88
HIST-00087,2026-04-11 15:00:00,PRC-07,30,52,174.0,31,150,4,4,5.0,80,0,44.56
HIST-00088,2026-01-24 12:00:00,PRC-03,50,64,127.2,95,100,2,8,8.0,69,0,47.61
HIST-00089,2026-09-06 14:00:00,PRC-09,60,49,81.2,62,100,4,2,3.0,85,0,15.02
HIST-00090,2026-03-24 09:00:00,PRC-06,70,37,53.2,83,100,2,5,7.0,92,0,17.47
HIST-00091,2026-08-26 05:00:00,PRC-06,50,60,120.1,87,100,3,5,7.0,68,1,54.17
HIST-00092,2026-08-12 08:00:00,PRC-08,45,20,45.1,69,50,4,3,4.0,73,0,11.2
HIST-00093,2026-04-20 20:00:00,PRC-02,60,55,91.9,25,75,3,9,6.0,75,1,33.8
HIST-00094,2026-01-03 22:00:00,PRC-02,60,34,57.4,42,100,1,9,6.0,79,0,13.67
HIST-00095,2026-04-05 09:00:00,PRC-06,70,42,60.7,69,150,1,5,7.0,69,0,25.93
HIST-00096,2026-06-06 20:00:00,PRC-03,45,65,145.5,32,150,4,8,8.0,74,1,53.5
HIST-00097,2026-02-05 03:00:00,PRC-03,45,41,90.7,42,150,3,8,8.0,91,0,12.9
HIST-00098,2026-05-22 19:00:00,PRC-10,60,57,94.9,69,75,3,1,6.5,80,0,25.34
HIST-00099,2026-01-14 07:00:00,PRC-10,60,74,124.0,18,150,4,1,6.5,78,0,28.79
HIST-00100,2026-04-03 10:00:00,PRC-08,45,27,59.7,78,150,3,3,4.0,98,0,11.01
HIST-00101,2026-01-18 00:00:00,PRC-03,45,71,156.9,87,100,2,8,8.0,76,0,55.21
HIST-00102,2026-04-13 02:00:00,PRC-05,35,18,50.2,22,100,3,6,4.5,97,0,2.95
HIST-00103,2026-05-31 20:00:00,PRC-09,50,63,125.1,50,25,2,2,3.0,97,0,32.88
HIST-00104,2026-01-15 09:00:00,PRC-02,40,54,135.8,45,25,2,9,6.0,92,1,51.25
HIST-00105,2026-02-12 11:00:00,PRC-03,30,14,46.6,32,150,1,8,8.0,96,0,8.35
HIST-00106,2026-05-15 02:00:00,PRC-03,60,88,146.5,49,150,4,8,8.0,66,0,47.29
HIST-00107,2026-03-07 03:00:00,PRC-05,60,103,171.8,95,25,2,6,4.5,97,0,66.62
HIST-00108,2026-01-12 15:00:00,PRC-10,60,83,139.0,44,150,3,1,6.5,67,0,46.1
HIST-00109,2026-07-31 02:00:00,PRC-06,45,74,164.6,37,25,3,5,7.0,91,0,49.26
HIST-00110,2026-01-18 14:00:00,PRC-10,40,24,60.5,21,50,2,1,6.5,98,0,6.24
HIST-00111,2026-03-04 14:00:00,PRC-05,70,108,154.8,56,25,3,6,4.5,65,0,63.21
HIST-00112,2026-01-07 07:00:00,PRC-06,50,86,171.3,40,150,4,5,7.0,80,0,51.09
HIST-00113,2026-03-02 13:00:00,PRC-09,40,51,127.7,16,75,1,2,3.0,89,0,29.59
HIST-00114,2026-05-14 13:00:00,PRC-08,30,51,171.4,33,150,2,3,4.0,67,0,53.67
HIST-00115,2026-06-19 04:00:00,PRC-06,45,77,171.7,25,125,1,5,7.0,73,0,58.33
HIST-00116,2026-01-20 06:00:00,PRC-04,40,32,78.9,55,100,3,7,5.5,85,0,10.81
HIST-00117,2026-02-23 14:00:00,PRC-03,70,102,145.1,28,50,1,8,8.0,93,0,46.33
HIST-00118,2026-01-11 06:00:00,PRC-05,45,36,79.5,30,25,2,6,4.5,84,0,10.79
HIST-00119,2026-04-14 14:00:00,PRC-06,35,20,56.9,46,75,2,5,7.0,68,0,15.32
HIST-00120,2026-07-19 07:00:00,PRC-09,60,70,116.5,27,100,1,2,3.0,73,0,33.94
HIST-00121,2026-01-17 06:00:00,PRC-03,35,53,152.1,62,150,3,8,8.0,70,0,45.16
HIST-00122,2026-04-21 23:00:00,PRC-08,70,43,61.7,57,25,1,3,4.0,94,1,39.47
HIST-00123,2026-06-07 07:00:00,PRC-07,45,22,48.8,69,50,2,4,5.0,76,0,16.87
HIST-00124,2026-06-14 16:00:00,PRC-05,45,44,98.6,85,100,1,6,4.5,82,0,25.57
HIST-00125,2026-03-24 12:00:00,PRC-04,60,105,174.2,84,25,4,7,5.5,87,0,62.75
HIST-00126,2026-05-16 11:00:00,PRC-05,35,17,48.4,91,50,1,6,4.5,82,1,40.54
HIST-00127,2026-08-31 07:00:00,PRC-10,35,60,171.6,27,50,3,1,6.5,82,0,46.51
HIST-00128,2026-07-26 23:00:00,PRC-10,70,121,172.7,64,75,4,1,6.5,76,0,65.6
HIST-00129,2026-02-14 15:00:00,PRC-06,50,24,48.7,60,125,3,5,7.0,77,0,14.53
HIST-00130,2026-02-21 04:00:00,PRC-01,30,16,52.3,92,50,1,10,3.5,95,1,35.95
HIST-00131,2026-04-06 22:00:00,PRC-06,60,41,68.1,56,25,1,5,7.0,74,0,24.98
HIST-00132,2026-06-13 15:00:00,PRC-07,50,29,58.1,53,75,1,4,5.0,75,0,14.47
HIST-00133,2026-06-26 09:00:00,PRC-06,35,48,136.9,86,150,4,5,7.0,87,0,33.35
HIST-00134,2026-07-27 19:00:00,PRC-03,35,49,139.7,88,100,4,8,8.0,67,0,42.03
HIST-00135,2026-01-23 22:00:00,PRC-04,60,71,118.5,78,50,2,7,5.5,69,0,42.26
HIST-00136,2026-01-01 01:00:00,PRC-06,45,21,46.5,41,50,3,5,7.0,87,0,9.66
HIST-00137,2026-05-28 20:00:00,PRC-07,45,63,140.2,36,100,2,4,5.0,89,0,38.15
HIST-00138,2026-02-13 12:00:00,PRC-04,35,36,103.7,19,75,1,7,5.5,81,0,12.52
HIST-00139,2026-04-22 05:00:00,PRC-03,60,33,54.8,26,75,3,8,8.0,95,0,6.56
HIST-00140,2026-03-02 03:00:00,PRC-01,30,26,88.0,39,100,3,10,3.5,99,0,5.54
HIST-00141,2026-02-21 03:00:00,PRC-01,45,54,119.3,77,50,1,10,3.5,65,0,38.19
HIST-00142,2026-05-06 21:00:00,PRC-01,35,24,67.2,52,25,2,10,3.5,72,0,13.24
HIST-00143,2026-02-27 08:00:00,PRC-05,30,39,128.4,64,50,2,6,4.5,89,0,28.16
HIST-00144,2026-02-28 17:00:00,PRC-10,30,19,64.6,27,25,3,1,6.5,99,0,6.17
HIST-00145,2026-08-07 22:00:00,PRC-01,70,67,95.3,81,100,4,10,3.5,95,0,21.33
HIST-00146,2026-02-14 05:00:00,PRC-01,50,60,119.3,81,125,3,10,3.5,74,0,35.8
HIST-00147,2026-03-23 23:00:00,PRC-04,70,49,70.1,20,100,1,7,5.5,92,0,17.57
HIST-00148,2026-01-04 22:00:00,PRC-02,30,29,95.5,65,125,2,9,6.0,82,0,16.71
HIST-00149,2026-01-28 18:00:00,PRC-10,50,56,112.9,68,25,2,1,6.5,74,0,31.72
HIST-00150,2026-06-05 15:00:00,PRC-02,70,58,82.2,83,75,4,9,6.0,81,0,20.82
HIST-00151,2026-07-10 15:00:00,PRC-01,35,28,80.8,33,125,3,10,3.5,90,1,27.2
HIST-00152,2026-09-06 07:00:00,PRC-05,40,19,47.6,53,75,2,6,4.5,96,0,10.64
HIST-00153,2026-04-15 23:00:00,PRC-03,40,69,171.6,71,75,2,8,8.0,91,0,51.99
HIST-00154,2026-04-14 04:00:00,PRC-08,70,78,112.1,62,25,3,3,4.0,75,1,52.82
HIST-00155,2026-04-05 14:00:00,PRC-09,50,24,48.8,39,50,3,2,3.0,80,1,16.69
HIST-00156,2026-09-03 15:00:00,PRC-09,45,57,127.6,30,150,1,2,3.0,88,0,32.07
HIST-00157,2026-09-05 06:00:00,PRC-10,50,45,90.5,35,75,3,1,6.5,70,0,18.87
HIST-00158,2026-07-16 21:00:00,PRC-04,60,45,74.3,41,75,3,7,5.5,97,1,34.05
HIST-00159,2026-06-14 08:00:00,PRC-01,45,74,163.5,37,125,3,10,3.5,79,0,47.92
HIST-00160,2026-04-12 18:00:00,PRC-07,45,70,155.7,73,75,2,4,5.0,84,0,54.32
HIST-00161,2026-06-13 10:00:00,PRC-02,30,33,111.5,62,125,3,9,6.0,83,0,22.76
HIST-00162,2026-07-25 19:00:00,PRC-05,40,52,130.3,53,50,1,6,4.5,80,0,37.49
HIST-00163,2026-01-10 18:00:00,PRC-07,60,52,86.5,32,150,1,4,5.0,96,0,16.84
HIST-00164,2026-05-10 09:00:00,PRC-10,70,49,69.7,43,150,3,1,6.5,95,0,15.35
HIST-00165,2026-02-16 21:00:00,PRC-03,70,91,130.5,86,50,2,8,8.0,95,0,47.5
HIST-00166,2026-04-06 08:00:00,PRC-06,60,34,56.6,60,50,3,5,7.0,84,0,9.82
HIST-00167,2026-05-16 09:00:00,PRC-10,40,42,105.3,30,100,1,1,6.5,69,0,25.17
HIST-00168,2026-08-21 14:00:00,PRC-07,30,47,158.2,34,50,4,4,5.0,86,0,36.94
HIST-00169,2026-07-18 05:00:00,PRC-03,40,63,157.1,38,25,2,8,8.0,76,0,45.95
HIST-00170,2026-04-09 00:00:00,PRC-10,70,46,65.6,26,50,3,1,6.5,92,0,11.97
HIST-00171,2026-06-27 11:00:00,PRC-01,50,35,70.9,62,25,4,10,3.5,98,0,9.69
HIST-00172,2026-03-16 14:00:00,PRC-05,35,20,58.4,79,125,2,6,4.5,69,0,17.51
HIST-00173,2026-08-21 12:00:00,PRC-09,50,57,113.1,70,150,4,2,3.0,86,0,23.26
HIST-00174,2026-06-16 01:00:00,PRC-01,35,26,74.2,31,50,3,10,3.5,97,0,5.52
HIST-00175,2026-04-17 14:00:00,PRC-07,60,47,78.3,83,125,1,4,5.0,68,0,31.8
HIST-00176,2026-06-19 16:00:00,PRC-07,30,35,116.1,75,150,2,4,5.0,65,0,30.7
HIST-00177,2026-05-08 06:00:00,PRC-05,50,62,123.7,32,100,3,6,4.5,71,0,31.01
HIST-00178,2026-05-08 06:00:00,PRC-10,35,51,146.1,81,50,2,1,6.5,91,0,44.25
HIST-00179,2026-05-11 02:00:00,PRC-08,40,30,75.5,16,150,1,3,4.0,72,0,15.33
HIST-00180,2026-01-11 09:00:00,PRC-02,40,52,128.8,73,75,2,9,6.0,68,1,50.24
HIST-00181,2026-08-17 14:00:00,PRC-06,70,93,133.0,69,150,1,5,7.0,67,1,63.45
HIST-00182,2026-04-27 08:00:00,PRC-10,40,64,159.2,26,75,3,1,6.5,76,1,56.97
HIST-00183,2026-02-10 03:00:00,PRC-07,60,93,155.6,68,150,4,4,5.0,75,1,76.21
HIST-00184,2026-08-09 21:00:00,PRC-07,50,54,107.7,87,150,2,4,5.0,89,0,28.14
HIST-00185,2026-07-16 23:00:00,PRC-03,45,74,164.7,29,100,2,8,8.0,69,0,54.01
HIST-00186,2026-05-04 11:00:00,PRC-10,60,71,118.5,58,125,3,1,6.5,71,0,32.51
HIST-00187,2026-07-12 15:00:00,PRC-07,35,54,154.1,86,125,1,4,5.0,75,0,50.58
HIST-00188,2026-04-28 14:00:00,PRC-06,35,31,88.0,50,25,3,5,7.0,89,0,10.31
HIST-00189,2026-05-21 00:00:00,PRC-10,45,25,56.4,78,100,2,1,6.5,96,0,13.76
HIST-00190,2026-04-27 10:00:00,PRC-02,70,86,123.5,94,150,2,9,6.0,97,0,43.31
HIST-00191,2026-06-18 07:00:00,PRC-06,70,36,52.1,43,100,2,5,7.0,95,0,12.26
HIST-00192,2026-02-05 22:00:00,PRC-01,40,36,91.2,52,125,3,10,3.5,71,1,27.36
HIST-00193,2026-07-13 13:00:00,PRC-07,30,23,78.1,40,50,1,4,5.0,90,0,11.84
HIST-00194,2026-05-10 04:00:00,PRC-01,60,92,153.9,90,25,3,10,3.5,93,0,56.32
HIST-00195,2026-02-14 23:00:00,PRC-08,30,34,113.9,21,125,4,3,4.0,95,0,13.61
HIST-00196,2026-06-05 22:00:00,PRC-03,30,29,95.4,91,125,4,8,8.0,97,0,10.96
HIST-00197,2026-08-04 22:00:00,PRC-04,40,39,96.7,58,75,2,7,5.5,73,0,21.51
HIST-00198,2026-03-30 21:00:00,PRC-09,70,60,85.8,85,150,2,2,3.0,78,0,25.84
HIST-00199,2026-08-30 21:00:00,PRC-03,60,78,129.5,37,125,3,8,8.0,85,0,32.07
HIST-00200,2026-01-07 12:00:00,PRC-07,60,85,142.2,83,75,4,4,5.0,92,0,43.98
HIST-00201,2026-07-20 09:00:00,PRC-03,30,40,132.1,40,75,3,8,8.0,75,0,28.97
HIST-00202,2026-03-02 16:00:00,PRC-04,70,81,115.4,60,100,1,7,5.5,79,0,38.96
HIST-00203,2026-08-11 14:00:00,PRC-05,60,79,131.4,63,100,2,6,4.5,85,0,40.62
HIST-00204,2026-03-17 14:00:00,PRC-04,60,82,136.6,62,125,3,7,5.5,77,0,42.96
HIST-00205,2026-08-05 08:00:00,PRC-03,60,33,54.7,37,150,3,8,8.0,89,1,21.09
HIST-00206,2026-06-10 19:00:00,PRC-01,40,42,105.6,34,25,2,10,3.5,85,0,17.05
HIST-00207,2026-02-10 13:00:00,PRC-05,45,66,147.7,85,75,1,6,4.5,85,0,45.58
HIST-00208,2026-09-01 19:00:00,PRC-09,50,49,97.4,59,50,4,2,3.0,86,0,13.79
HIST-00209,2026-01-11 21:00:00,PRC-09,45,79,174.6,16,25,3,2,3.0,93,0,52.15
HIST-00210,2026-07-17 11:00:00,PRC-06,45,74,164.1,29,100,2,5,7.0,83,1,64.2
HIST-00211,2026-07-17 17:00:00,PRC-09,70,78,111.1,77,25,2,2,3.0,77,0,40.3
HIST-00212,2026-01-27 06:00:00,PRC-09,30,38,126.5,41,150,3,2,3.0,78,0,27.46
HIST-00213,2026-01-23 02:00:00,PRC-09,70,95,136.4,70,150,3,2,3.0,69,0,49.92
HIST-00214,2026-04-26 20:00:00,PRC-01,35,52,148.2,86,25,3,10,3.5,79,0,43.23
HIST-00215,2026-06-29 02:00:00,PRC-07,45,39,86.1,64,150,1,4,5.0,65,0,25.69
HIST-00216,2026-01-08 15:00:00,PRC-06,50,29,58.8,53,125,1,5,7.0,93,0,12.09
HIST-00217,2026-06-15 11:00:00,PRC-03,50,37,73.6,65,125,2,8,8.0,74,0,23.34
HIST-00218,2026-03-20 06:00:00,PRC-01,50,79,158.7,33,25,1,10,3.5,90,0,49.95
HIST-00219,2026-05-26 01:00:00,PRC-06,35,35,98.6,80,50,2,5,7.0,79,0,21.32
HIST-00220,2026-05-05 10:00:00,PRC-09,45,58,128.8,24,75,3,2,3.0,81,1,48.14
HIST-00221,2026-03-20 22:00:00,PRC-06,35,46,132.3,45,25,2,5,7.0,69,0,32.87
HIST-00222,2026-02-26 22:00:00,PRC-10,35,41,118.5,61,75,4,1,6.5,75,1,35.68
HIST-00223,2026-02-14 20:00:00,PRC-07,40,62,154.2,32,150,3,4,5.0,95,0,38.79
HIST-00224,2026-08-06 16:00:00,PRC-10,30,46,154.4,32,125,2,1,6.5,69,0,45.11
HIST-00225,2026-07-18 04:00:00,PRC-01,70,84,120.6,66,125,2,10,3.5,67,0,46.23
HIST-00226,2026-04-12 11:00:00,PRC-06,45,33,74.0,90,150,4,5,7.0,73,0,17.62
HIST-00227,2026-08-12 04:00:00,PRC-09,30,39,131.1,93,150,2,2,3.0,97,0,30.82
HIST-00228,2026-05-13 11:00:00,PRC-08,40,20,50.3,77,50,1,3,4.0,88,0,13.9
HIST-00229,2026-07-09 08:00:00,PRC-07,45,74,164.3,20,25,4,4,5.0,85,1,64.12
HIST-00230,2026-08-21 07:00:00,PRC-10,50,60,119.1,63,150,2,1,6.5,69,0,34.71
HIST-00231,2026-06-14 08:00:00,PRC-09,45,41,90.9,59,100,3,2,3.0,65,0,21.52
HIST-00232,2026-03-26 23:00:00,PRC-04,35,24,69.3,61,125,3,7,5.5,72,0,14.81
HIST-00233,2026-06-11 16:00:00,PRC-02,45,60,132.8,76,50,3,9,6.0,91,1,42.94
HIST-00234,2026-05-25 20:00:00,PRC-01,50,32,64.1,36,75,4,10,3.5,98,0,6.2
HIST-00235,2026-07-23 18:00:00,PRC-01,60,84,139.6,51,25,2,10,3.5,95,0,45.25
HIST-00236,2026-01-18 07:00:00,PRC-03,50,65,130.8,48,50,3,8,8.0,86,0,30.36
HIST-00237,2026-08-19 19:00:00,PRC-07,45,28,62.2,17,50,3,4,5.0,97,0,4.59
HIST-00238,2026-06-04 17:00:00,PRC-10,30,48,159.1,83,125,3,1,6.5,70,0,48.38
HIST-00239,2026-07-16 12:00:00,PRC-01,70,93,133.2,70,125,2,10,3.5,67,0,54.4
HIST-00240,2026-08-08 02:00:00,PRC-06,50,75,149.6,88,25,2,5,7.0,81,0,50.81
HIST-00241,2026-06-26 10:00:00,PRC-05,50,80,159.0,67,75,2,6,4.5,65,0,62.64
HIST-00242,2026-04-04 19:00:00,PRC-07,40,24,58.9,69,150,3,4,5.0,81,0,12.12
HIST-00243,2026-05-28 11:00:00,PRC-05,60,58,96.7,41,100,3,6,4.5,95,0,11.41
HIST-00244,2026-07-21 10:00:00,PRC-07,60,38,62.9,30,150,2,4,5.0,75,1,31.2
HIST-00245,2026-01-23 02:00:00,PRC-09,50,68,135.6,21,50,2,2,3.0,65,0,38.91
HIST-00246,2026-07-02 19:00:00,PRC-05,35,33,93.2,92,25,3,6,4.5,90,0,16.31
HIST-00247,2026-03-01 19:00:00,PRC-01,70,106,151.6,78,100,1,10,3.5,98,0,58.95
HIST-00248,2026-04-13 11:00:00,PRC-03,60,30,49.7,45,150,1,8,8.0,75,1,27.89
HIST-00249,2026-05-30 11:00:00,PRC-07,45,55,121.2,81,25,3,4,5.0,69,0,34.88
HIST-00250,2026-04-15 16:00:00,PRC-06,70,57,80.9,92,50,2,5,7.0,90,0,22.52
HIST-00251,2026-06-27 14:00:00,PRC-02,50,27,54.4,52,75,4,9,6.0,97,0,8.11
HIST-00252,2026-08-09 00:00:00,PRC-07,50,54,107.9,46,75,4,4,5.0,94,0,15.19
HIST-00253,2026-05-13 17:00:00,PRC-08,30,24,78.5,63,150,3,3,4.0,79,0,10.18
HIST-00254,2026-05-02 10:00:00,PRC-01,60,92,153.2,46,75,1,10,3.5,86,1,78.78
HIST-00255,2026-02-22 07:00:00,PRC-06,35,56,161.3,49,50,4,5,7.0,77,0,43.17
